,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Year,Casualty_count,Fatality_rate,Vehicle_crash_ratio
445,Q4 2023,Adamawa,42,153,11,57,34,0,0,0,23,2023,164,0.2619047619047619,1.3571428571428572
446,Q4 2023,Akwa Ibom,12,24,15,15,8,0,1,0,6,2023,39,1.25,1.25
447,Q4 2023,Anambra,32,71,9,36,11,0,0,0,25,2023,80,0.28125,1.125
448,Q4 2023,Bauchi,83,361,46,136,55,0,0,2,79,2023,407,0.5542168674698795,1.6385542168674698
449,Q4 2023,Bayelsa,3,14,0,4,0,0,0,0,4,2023,14,0.0,1.3333333333333333
450,Q4 2023,Benue,42,114,23,42,27,0,0,0,15,2023,137,0.5476190476190477,1.0
451,Q4 2023,Borno,19,210,5,32,4,0,0,0,28,2023,215,0.2631578947368421,1.6842105263157894
452,Q4 2023,Cross River,26,42,16,28,15,0,0,0,13,2023,58,0.6153846153846154,1.0769230769230769
453,Q4 2023,Delta,38,123,29,41,20,0,0,1,20,2023,152,0.7631578947368421,1.0789473684210527
454,Q4 2023,Ebonyi,25,72,11,28,15,0,0,0,13,2023,83,0.44,1.12
455,Q4 2023,Edo,46,102,16,67,38,0,0,0,29,2023,118,0.34782608695652173,1.4565217391304348
456,Q4 2023,Ekiti,24,37,2,42,30,1,0,0,11,2023,39,0.08333333333333333,1.75
457,Q4 2023,Enugu,42,193,16,52,31,0,0,0,21,2023,209,0.38095238095238093,1.2380952380952381
458,Q4 2023,Fct,296,548,69,382,258,0,0,1,123,2023,617,0.23310810810810811,1.2905405405405406
459,Q4 2023,Gombe,118,464,29,100,57,0,0,0,43,2023,493,0.2457627118644068,0.847457627118644
